Op 0:  IFM: 49152  OFM: 131072  Buf: 0  Total: 180224
Op 1:  IFM: 131072  OFM: 65536  Buf: 0  Total: 196608
Op 2:  IFM: 65536  OFM: 6144  Buf: 0  Total: 71680
Op 3:  IFM: 6144  OFM: 6144  Buf: 65536  Total: 77824
Op 4:  IFM: 65536  OFM: 6144  Buf: 6144  Total: 77824
Op 5:  IFM: 6144  OFM: 6144  Buf: 71680  Total: 83968
Op 6:  IFM: 6144  OFM: 6144  Buf: 71680  Total: 83968
Op 7:  IFM: 6144  OFM: 6144  Buf: 71680  Total: 83968
Op 8:  IFM: 65536  OFM: 6144  Buf: 12288  Total: 83968
Op 9:  IFM: 6144  OFM: 6144  Buf: 77824  Total: 90112
Op 10:  IFM: 6144  OFM: 6144  Buf: 77824  Total: 90112
Op 11:  IFM: 65536  OFM: 69696  Buf: 18432  Total: 153664
Op 12:  IFM: 69696  OFM: 65536  Buf: 18432  Total: 153664
Op 13:  IFM: 65536  OFM: 6144  Buf: 18432  Total: 90112
Op 14:  IFM: 6144  OFM: 6144  Buf: 18432  Total: 30720
Op 15:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 16:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 17:  IFM: 24576  OFM: 6144  Buf: 0  Total: 30720
Op 18:  IFM: 6144  OFM: 6144  Buf: 24576  Total: 36864
Op 19:  IFM: 24576  OFM: 6144  Buf: 6144  Total: 36864
Op 20:  IFM: 6144  OFM: 6144  Buf: 30720  Total: 43008
Op 21:  IFM: 6144  OFM: 6144  Buf: 30720  Total: 43008
Op 22:  IFM: 6144  OFM: 6144  Buf: 30720  Total: 43008
Op 23:  IFM: 24576  OFM: 6144  Buf: 12288  Total: 43008
Op 24:  IFM: 6144  OFM: 6144  Buf: 36864  Total: 49152
Op 25:  IFM: 6144  OFM: 6144  Buf: 36864  Total: 49152
Op 26:  IFM: 24576  OFM: 27744  Buf: 18432  Total: 70752
Op 27:  IFM: 27744  OFM: 24576  Buf: 18432  Total: 70752
Op 28:  IFM: 24576  OFM: 6144  Buf: 18432  Total: 49152
Op 29:  IFM: 6144  OFM: 6144  Buf: 18432  Total: 30720
Op 30:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 31:  IFM: 24576  OFM: 24576  Buf: 0  Total: 49152
Op 32:  IFM: 24576  OFM: 6144  Buf: 0  Total: 30720
Op 33:  IFM: 6144  OFM: 6144  Buf: 24576  Total: 36864
Op 34:  IFM: 24576  OFM: 6144  Buf: 6144  Total: 36864
Op 35:  IFM: 6144  OFM: 6144  Buf: 30720  Total: 43008
Op 36:  IFM: 6144  OFM: 6144  Buf: 30720  Total: 43008
Op 37:  IFM: 6144  OFM: 6144  Buf: 30720  Total: 43008
Op 38:  IFM: 24576  OFM: 6144  Buf: 12288  Total: 43008
Op 39:  IFM: 6144  OFM: 6144  Buf: 36864  Total: 49152
Op 40:  IFM: 6144  OFM: 6144  Buf: 36864  Total: 49152
Op 41:  IFM: 24576  OFM: 27744  Buf: 18432  Total: 70752
Op 42:  IFM: 27744  OFM: 24576  Buf: 18432  Total: 70752
